City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,pyapon,16.2833,95.6833,99.18,31,16,9.17,MM,1681623229
1,isafjordur,66.0755,-23.124,34.59,89,100,7.14,IS,1681623229
2,marechal deodoro,-9.7103,-35.895,74.61,86,15,2.42,BR,1681623229
3,iqaluit,63.7506,-68.5145,15.53,79,100,25.32,CA,1681623229
4,bull savanna,17.8868,-77.5902,73.8,87,89,6.93,JM,1681623229
5,waitangi,-43.9535,-176.5597,51.82,86,21,14.14,NZ,1681623229
6,rawson,-43.3002,-65.1023,51.42,69,76,14.34,AR,1681623060
7,margaret river,-33.95,115.0667,66.16,63,92,10.76,AU,1681623229
8,talnakh,69.4865,88.3972,-1.17,67,38,1.57,RU,1681623229
9,bilibino,68.0546,166.4372,18.39,78,18,2.93,RU,1681623229
10,bethel,41.3712,-73.414,61.65,89,100,5.75,US,1681623229
11,sinabang,2.4803,96.3801,83.71,71,98,3.31,ID,1681623229
12,touros,-5.1989,-35.4608,76.12,93,99,9.35,BR,1681623087
13,vorgashor,67.5833,63.95,5.09,89,95,3.11,RU,1681623230
14,stanley,54.868,-1.6985,42.82,90,20,4.61,GB,1681623210
15,ust-nera,64.5667,143.2,27.21,81,100,3.89,RU,1681623230
16,puerto natales,-51.7236,-72.4875,39.31,91,100,7.14,CL,1681622980
17,howard springs,-12.497,131.047,84.11,85,93,1.81,AU,1681623230
18,nizhnevartovsk,60.9344,76.5531,8.62,78,75,13.42,RU,1681623230
19,villa tupac amaru,-13.7,-76.15,74.48,73,75,6.91,PE,1681623230
20,port lincoln,-34.7333,135.8667,63.25,52,29,13.96,AU,1681623230
21,ostersund,63.1792,14.6357,34.61,69,100,5.75,SE,1681623230
22,san patricio,28.017,-97.5169,75.92,62,2,18.21,US,1681623230
23,caleta de carquin,-11.0925,-77.6267,75.97,82,100,9.31,PE,1681623231
24,lazaro cardenas,17.9583,-102.2,75.38,80,59,3.42,MX,1681623231
25,gulf shores,30.246,-87.7008,69.85,71,20,11.5,US,1681623231
26,georgetown,5.4112,100.3354,93.13,66,20,9.22,MY,1681623039
27,fisterra,42.9049,-9.2629,50.02,84,0,11.36,ES,1681623231
28,new norfolk,-42.7826,147.0587,58.91,65,100,3.0,AU,1681623231
29,aridaia,40.9731,22.0564,55.15,60,99,0.29,GR,1681623232
30,adamstown,-25.066,-130.1015,78.15,83,3,14.18,PN,1681623232
31,codrington,-38.2667,141.9667,58.93,53,39,17.02,AU,1681623232
32,manokwari,-0.8667,134.0833,82.65,78,99,6.69,ID,1681623232
33,minas de marcona,-15.2119,-75.1103,63.27,83,93,7.18,PE,1681623232
34,papao,-17.75,-149.55,82.08,78,7,17.2,PF,1681623232
35,springs,-26.25,28.4,55.67,99,0,5.7,ZA,1681623232
36,cunha,-23.0744,-44.9597,61.57,98,98,1.97,BR,1681623233
37,colonia,50.9333,6.95,48.06,92,100,9.22,DE,1681622988
38,jintur,19.6167,76.7,97.79,17,10,4.25,IN,1681623233
39,nieuw amsterdam,5.8833,-55.0833,77.02,92,100,7.9,SR,1681623233
40,luena,-11.7833,19.9167,65.23,82,99,5.28,AO,1681623233
41,mount isa,-20.7333,139.5,65.97,63,100,17.27,AU,1681623233
42,port-aux-francais,-49.35,70.2167,42.69,96,100,30.24,TF,1681623233
43,carbonear,47.7332,-53.2148,35.42,81,9,10.36,CA,1681623027
44,ulanhot,46.0833,122.0833,54.07,20,25,6.4,CN,1681623234
45,yellowknife,62.456,-114.3525,34.32,69,40,12.66,CA,1681623234
46,fortuna,40.5982,-124.1573,49.66,77,80,2.19,US,1681623234
47,mawlaik,23.6333,94.4167,110.61,9,19,3.18,MM,1681623234
48,bredasdorp,-34.5322,20.0403,55.53,84,0,3.91,ZA,1681623234
49,tralee,52.2704,-9.7026,49.5,99,81,5.46,IE,1681623234
50,jamestown,42.097,-79.2353,60.44,67,0,1.01,US,1681623234
51,punta arenas,-53.15,-70.9167,42.91,75,75,16.11,CL,1681623054
52,puerto ayora,-0.7393,-90.3518,73.54,100,90,6.2,EC,1681623235
53,moree,-29.4667,149.85,80.42,36,79,12.82,AU,1681623235
54,tiksi,71.6872,128.8694,16.38,91,100,16.87,RU,1681623235
55,edinburgh of the seven seas,-37.0676,-12.3116,67.03,94,100,26.02,SH,1681623235
56,san luis de la loma,17.2706,-100.8939,76.98,73,27,5.26,MX,1681623235
57,nemuro,43.3236,145.575,37.24,98,100,13.51,JP,1681623235
58,gadzhiyevo,69.2551,33.3362,29.07,86,25,8.52,RU,1681623235
59,bishkul,54.7803,69.1033,35.94,30,0,6.71,KZ,1681623235
60,saint-flour,45.0833,3.0,38.62,89,98,5.46,FR,1681623235
61,papatowai,-46.5619,169.4708,56.3,85,84,5.82,NZ,1681623236
62,ilulissat,69.2167,-51.1,23.02,93,100,3.44,GL,1681623236
